화면,카테고리,테스트 항목,테마,게임보이 결과,클래식 결과,비고
랜딩,기본,페이지 로드 시 스크롤 위치 맨 위(0)에서 시작,공통,,−,
랜딩,애니메이션,스크롤 시 모니터 깨어남 애니메이션 재생,공통,,−,
랜딩,네비게이션,[시작하기] 버튼 클릭 → /login 이동,공통,,−,
인증,로그인,정상 계정으로 로그인 성공 → /dashboard 이동,공통,,−,
인증,로그인,잘못된 비밀번호 입력 → 에러 메시지 표시,공통,,−,
인증,로그인,미등록 이메일 입력 → 에러 메시지 표시,공통,,−,
인증,로그인,비밀번호 보기/숨기기 토글 동작,공통,,−,
인증,로그인,Google 로그인 버튼 동작,공통,,−,
인증,회원가입,[회원가입] 탭 클릭 → 회원가입 모드 전환,공통,,−,
인증,회원가입,닉네임/이메일/비밀번호 입력 후 가입 성공,공통,,−,
인증,회원가입,비밀번호 입력 시 보안 등급 실시간 표시,공통,,−,
인증,회원가입,중복 이메일 입력 → 에러 메시지 표시,공통,,−,
인증,회원가입,8자 미만 비밀번호 → 유효성 검사 실패,공통,,−,
인증,공통,로그인 성공 후 localStorage에 토큰 저장 확인,공통,,−,
대시보드,기본,사용자 닉네임 및 연속 기록일 표시,둘 다,,,
대시보드,통계,통계 타일 4개 렌더링 (TIL 수 / 연속일 / 글자수 / 포인트),둘 다,,,
대시보드,그래프,잔디 그래프 52주 × 7일 렌더링,둘 다,,,
대시보드,그래프,오늘 날짜 강조 표시,둘 다,,,
대시보드,그래프,최근 30일 막대 그래프 렌더링,둘 다,,,
대시보드,그래프,주간 요일별 최고값 강조 (피치색),둘 다,,,
대시보드,그래프,화분별 분포 파이 차트 및 레이블 표시,둘 다,,,
대시보드,그래프,학습 관심사 변화 시계열 그래프,둘 다,,,
대시보드,네비게이션,[화분 선택하기] 버튼 → /garden 이동,둘 다,,,
대시보드,가이드,첫 방문 시 1초 후 가이드 자동 열림,둘 다,,,
대시보드,가이드,[?] 버튼 클릭 → 가이드 수동 열기,둘 다,,,
대시보드,가이드,가이드 닫기 후 localStorage에 방문 기록 저장,둘 다,,,
대시보드,가이드,새로고침 후 가이드 미표시 (이미 방문),둘 다,,,
정원,기본,화분 그리드 렌더링 (이름 / 레벨 / 진행률 / 식물 이미지),둘 다,,,
정원,네비게이션,화분 클릭 → /garden/pots/:potId 이동,둘 다,,,
정원,화분 관리,[화분 추가] → 생성 모달 열림,둘 다,,,
정원,화분 관리,화분 이름/설명 입력 후 [생성] → 정원 리로드 및 신규 화분 표시,둘 다,,,
정원,꾸미기,[정원 꾸미기] 버튼 → 드래그 앤 드롭 모드 활성화,둘 다,,,
정원,꾸미기,화분 드래그 → 위치 이동 (시각적 피드백 확인),둘 다,,,
정원,꾸미기,테마 변경 버튼 → 4가지 테마 선택 가능,둘 다,,,
정원,꾸미기,테마 선택 → 배경 이미지 전환 확인,둘 다,,,
정원,꾸미기,[꾸미기 완료] → 배치 및 테마 저장 + 새로고침 후 유지,둘 다,,,
정원,희귀종,희귀종 화분 → 배경 효과 표시 (달/번개/꽃잎),게임보이 전용,,−,클래식에는 희귀종 연출 없음
정원,동기화,TIL 발행 후 정원 복귀 시 화면 새로고침,둘 다,,,
정원,가이드,첫 방문 가이드 자동 열림,둘 다,,,
정원,가이드,[?] 버튼 → 가이드 재개,둘 다,,,
화분 상세,기본,식물 이미지 (현재 성장 단계) 표시,둘 다,,,
화분 상세,기본,화분명 / 레벨 / 경험치 프로그레스 표시,둘 다,,,
화분 상세,진화,진화 계통 5단계 버튼 표시,둘 다,,,
화분 상세,진화,미수집 식물 → 잠금 아이콘 표시,둘 다,,,
화분 상세,진화,수집 식물 클릭 → 해당 단계 이미지 표시,둘 다,,,
화분 상세,화분 관리,[화분 수정] 버튼 → 모달 열림,둘 다,,,
화분 상세,화분 관리,이름/설명 변경 후 [저장] → 화면 업데이트,둘 다,,,
화분 상세,화분 관리,[취소] 클릭 → 모달 닫힘 (변경 없음),둘 다,,,
화분 상세,수확,[수확] 버튼 - 경험치 충분 시 활성화 → 포인트 획득,둘 다,,,
화분 상세,수확,[수확] 버튼 - 경험치 부족 시 비활성화 또는 툴팁 표시,둘 다,,,
화분 상세,TIL 목록,TIL 목록 (제목 / 날짜 / 태그) 렌더링,둘 다,,,
화분 상세,TIL 목록,TIL 행 클릭 → /garden/pots/:potId/tils/:tilId 이동,둘 다,,,
화분 상세,TIL 목록,임시저장 TIL에 [이어쓰기] 버튼 표시,둘 다,,,
화분 상세,성장 연출,TIL 발행 후 귀환 시 물주기 애니메이션 재생,둘 다,,,
화분 상세,성장 연출,새로고침 후 애니메이션 미재생 (1회만 소비),둘 다,,,
화분 상세,네비게이션,[TIL 작성하고 물주기] → /editor?potId=:potId 이동,둘 다,,,
화분 상세,네비게이션,[←] 뒤로 → /garden 이동,둘 다,,,
화분 상세,가이드,첫 방문 가이드 자동 열림,둘 다,,,
TIL 상세,기본,제목 / 발행일 / 화분명 / 태그 표시,게임보이 전용,,−,
TIL 상세,본문 렌더링,일반 텍스트 렌더링,게임보이 전용,,−,
TIL 상세,본문 렌더링,굵기/기울임/취소선 스타일 렌더링,게임보이 전용,,−,
TIL 상세,본문 렌더링,이미지 렌더링 (로드 성공/실패 폴백),게임보이 전용,,−,
TIL 상세,본문 렌더링,수학 공식 (LaTeX) 렌더링,게임보이 전용,,−,
TIL 상세,본문 렌더링,코드블록 (문법 하이라이트) 렌더링,게임보이 전용,,−,
TIL 상세,본문 렌더링,콜아웃 박스 렌더링,게임보이 전용,,−,
TIL 상세,본문 렌더링,링크 렌더링,게임보이 전용,,−,
TIL 상세,액션,[이어쓰기] → 에디터 편집 모드 이동 (기존 내용 로드),게임보이 전용,,−,
TIL 상세,액션,[삭제] → 확인 모달 열림,게임보이 전용,,−,
TIL 상세,액션,삭제 확인 → API 호출 → 화분 상세로 이동,게임보이 전용,,−,
TIL 상세,액션,삭제 취소 → 모달 닫힘,게임보이 전용,,−,
TIL 상세,네비게이션,[←] → /garden/pots/:potId 이동,게임보이 전용,,−,
에디터,기본,화분 선택 드롭다운 열림 및 화분 목록 표시,둘 다,,,
에디터,기본,화분 선택 시 경험치 예측값 업데이트,둘 다,,,
에디터,기본,제목 입력 동작,둘 다,,,
에디터,태그,태그 텍스트 입력 후 [+ 추가] 클릭 → 태그 칩 생성,둘 다,,,
에디터,태그,태그 입력 후 Enter 키 → 태그 추가,둘 다,,,
에디터,태그,태그 [x] 클릭 → 제거,둘 다,,,
에디터,툴바,굵기 / 기울임 / 취소선 적용 및 해제,둘 다,,,
에디터,툴바,H1 / H2 / H3 헤딩 생성,둘 다,,,
에디터,툴바,불릿 / 번호 리스트 생성,둘 다,,,
에디터,툴바,이미지 업로드 (파일 선택),둘 다,,,
에디터,툴바,이미지 드래그 앤 드롭 업로드,둘 다,,,
에디터,툴바,수학 공식 (LaTeX) 블록 삽입,둘 다,,,
에디터,툴바,코드블록 삽입 및 언어 선택,둘 다,,,
에디터,툴바,콜아웃 박스 삽입 (info/warning/success),둘 다,,,
에디터,툴바,링크 삽입,둘 다,,,
에디터,우측 패널,패널 토글 버튼 → 열기/닫기,둘 다,,,
에디터,우측 패널,임시저장 목록 로드 및 표시,둘 다,,,
에디터,우측 패널,임시저장 [이어쓰기] → 에디터에 내용 로드,둘 다,,,
에디터,우측 패널,식물 상태 (이미지 + 현재/예상 경험치) 표시,둘 다,,,
에디터,포커스 모드,포커스 모드 진입 → 사이드바/패널 숨김,둘 다,,,
에디터,포커스 모드,포커스 모드 해제 → 사이드바/패널 복원,둘 다,,,
에디터,임시저장,작성 중 자동 임시저장 → "저장됨" 상태 표시,둘 다,,,
에디터,발행,[발행] 클릭 - 제목 없음 → 발행 차단,둘 다,,,
에디터,발행,[발행] 클릭 - 본문 없음 → 발행 차단,둘 다,,,
에디터,발행,발행 성공 → 화분 상세 페이지로 이동,둘 다,,,
